"","PROBEID","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1679","TC0100016963.hg.1","10765","KDM5B",-1.005982,6.37898,-3.885443,0.0009406842,0.002588422,-1.151233
"1680","TC1300008289.hg.1","253832","ZDHHC20",-1.079289,6.7301,-3.88442,0.0009429191,0.002593027,-1.15356
"1681","TC0700008617.hg.1","10603","SH2B2",-0.958657,5.012028,-3.878212,0.0009566038,0.002629096,-1.167693
"1682","TC1400007950.hg.1","801","CALM1",-1.349095,8.947535,-3.876951,0.0009594062,0.00263523,-1.170562
"1683","TC1700011905.hg.1","8632","DNAH17",-0.9686471,4.527318,-3.875436,0.0009627863,0.002642287,-1.174011
"1684","TC0X00007116.hg.1","6102","RP2",-0.9658957,7.902345,-3.875287,0.0009631194,0.002642287,-1.17435
"1685","TC2200009278.hg.1","9978","RBX1",-0.8681495,5.958915,-3.874813,0.0009641789,0.002643624,-1.175428
"1686","TC0900010925.hg.1","158431","ZNF782",0.8358853,3.776944,3.874506,0.0009648673,0.002643942,-1.176128
"1687","TC0300013804.hg.1","54995","OXSM",0.77297,3.415133,3.873768,0.0009665199,0.002646901,-1.177806
"1688","TC1900006470.hg.1","682","BSG",1.010445,9.164097,3.871824,0.0009708908,0.002657296,-1.182231
"1689","TC0600013147.hg.1","93663","ARHGAP18",-1.096928,5.517476,-3.870984,0.0009727844,0.002660902,-1.184142
"1690","TC0300014052.hg.1","6259","RYK",1.072343,6.075855,3.870728,0.0009733624,0.002660908,-1.184724
"1691","TC1500010792.hg.1","55784","MCTP2",-1.165366,7.069615,-3.870222,0.0009745076,0.002662463,-1.185877
"1692","TC1600009137.hg.1","6923","ELOB",-0.762536,6.069682,-3.86881,0.0009777047,0.002669619,-1.189089
"1693","TC0800010880.hg.1","3574","IL7",0.7810742,2.19185,3.865987,0.0009841322,0.002685582,-1.195514
"1694","TC0600014362.hg.1","51106","TFB1M",1.164139,3.116223,3.864249,0.000988108,0.00269484,-1.199467
"1695","TC1900010017.hg.1","8178","ELL",-0.8561588,6.600348,-3.862176,0.000992873,0.002706238,-1.204183
"1696","TC0100008094.hg.1","55182","RNF220",0.7224972,7.104772,3.861902,0.0009935039,0.002706361,-1.204806
"1697","TC0700011782.hg.1","257415","FAM133B",-0.9778096,4.76033,-3.861305,0.0009948817,0.002708517,-1.206165
"1698","TC0700013080.hg.1","6009","RHEB",-1.26422,5.043416,-3.859696,0.0009986029,0.002717047,-1.209825
"1699","TC2200009285.hg.1","553158","PRR5-ARHGAP8",0.7401512,4.961586,3.858746,0.001000806,0.002720472,-1.211985
"1700","TC0300007255.hg.1","1232","CCR3",1.883642,5.287797,3.858646,0.00100104,0.002720472,-1.212214
"1701","TC0200008666.hg.1","3554","IL1R1",-1.249431,4.874105,-3.857599,0.001003473,0.002725483,-1.214595
"1702","TC1800009243.hg.1","5273","SERPINB10",-0.9630011,4.118494,-3.857027,0.001004805,0.002726584,-1.215895
"1703","TC1100008673.hg.1","65084","TMEM135",0.9722444,3.805274,3.856919,0.001005059,0.002726584,-1.216143
"1704","TC0200008655.hg.1","9448","MAP4K4",-0.7911085,7.437449,-3.85613,0.001006899,0.002729974,-1.217936
"1705","TC0600014273.hg.1","3123","HLA-DRB1",1.142729,9.039925,3.855503,0.001008366,0.002730786,-1.219363
"1706","TC0100011940.hg.1","22796","COG2",0.9805915,4.863844,3.855496,0.001008381,0.002730786,-1.219377
"1707","TC0900009164.hg.1","51116","MRPS2",0.6822447,6.579122,3.853924,0.001012068,0.002739164,-1.222955
"1708","TC0X00007574.hg.1","93953","GCNA",0.9060027,4.152732,3.853017,0.001014199,0.002743326,-1.225017
"1709","TC2000006628.hg.1","84515","MCM8",1.25844,4.480477,3.849537,0.001022421,0.002763946,-1.23293
"1710","TC1700008531.hg.1","339175","METTL2A",1.116514,5.403344,3.848922,0.001023879,0.00276627,-1.234328
"1711","TC0500012210.hg.1","340061","STING1",0.9986609,7.961334,3.847785,0.001026585,0.00277196,-1.236915
"1712","TC1700009713.hg.1","9482","STX8",-0.7661714,4.746465,-3.846421,0.001029838,0.002779118,-1.240015
"1713","TC0600013880.hg.1","113402","SFT2D1",-0.7739388,5.236012,-3.842406,0.001039476,0.002803491,-1.249145
"1714","TC1900010886.hg.1","9310","ZNF235",0.829229,4.149976,3.84098,0.001042922,0.002811142,-1.252387
"1715","TC0400012949.hg.1","64116","SLC39A8",-0.9382676,5.256913,-3.837907,0.001050382,0.0028296,-1.259372
"1716","TC1000008276.hg.1","54462","CCSER2",1.105334,8.077148,3.834965,0.001057574,0.002847314,-1.266058
"1717","TC0300009194.hg.1","56670","SUCNR1",-1.121104,2.771019,-3.834253,0.001059323,0.002850361,-1.267677
"1718","TC1100007899.hg.1","5920","PLAAT4",0.905243,6.768357,3.832799,0.001062902,0.002857706,-1.270982
"1719","TC0200016511.hg.1","3557","IL1RN",-1.843055,7.744568,-3.832642,0.001063289,0.002857706,-1.271339
"1720","TC1600007893.hg.1","79068","FTO",0.7420101,6.845951,3.830906,0.001067578,0.002867565,-1.275283
"1721","TC0700009977.hg.1","5154","PDGFA",-0.9687253,4.674258,-3.82972,0.001070519,0.002873758,-1.277978
"1722","TC1600009417.hg.1","29066","ZC3H7A",-0.7675793,7.174733,-3.829475,0.001071128,0.002873758,-1.278535
"1723","TC1700012446.hg.1","57003","CCDC47",-0.6840609,7.301007,-3.826194,0.001079312,0.002894036,-1.285993
