"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC0100011453.hg.1",4.45679993830263,6.85539415128934,11.7927907316607,2.22143147744125e-10,4.66500610262662e-08,14.0267152428023
"TC0900006961.hg.1",3.2821856167736,6.36236233418095,11.657433313484,2.71398178763587e-10,5.26201102196593e-08,13.8292957224819
"TC0200007132.hg.1",2.69472880112928,8.16155672061654,11.6507853053283,2.7409327244105e-10,5.26201102196593e-08,13.8195497358693
"TC0100015856.hg.1",4.44146918631345,7.99248097921611,11.6251719786983,2.84740856166988e-10,5.26201102196593e-08,13.7819567260489
"TC0700006928.hg.1",2.52694332065545,6.63374087694684,11.5706417651224,3.08872812211901e-10,5.48843227853455e-08,13.7016894945467
"TC0X00009268.hg.1",3.35459353247151,4.78348068944497,11.4686846822632,3.59895452988287e-10,6.14631376099394e-08,13.5507571848129
"TC1200008184.hg.1",2.41815330996039,6.05716570454029,11.4458147949888,3.72503864302663e-10,6.14631376099394e-08,13.5167480858068
"TC0700008878.hg.1",2.52744517973644,5.31669318618442,11.4097330320381,3.93341781182222e-10,6.26634147952367e-08,13.4629769717786
"TC0X00006799.hg.1",2.87755454572722,8.32780300256738,11.3860622784527,4.07669944567805e-10,6.2781171463442e-08,13.4276247604669
"TC0500007075.hg.1",3.05520015125406,7.13766662731447,11.3624464275086,4.22508470638154e-10,6.29673914305894e-08,13.3922938344541
"TC0100013348.hg.1",2.223115093736,5.72110091180832,11.3359702853443,4.39816441567876e-10,6.34984987513621e-08,13.3526114488197
"TC1500009079.hg.1",2.53094519506916,7.24772909401879,11.3049205353261,4.61060925949104e-10,6.45485296328746e-08,13.3059765735528
"TC1000008159.hg.1",3.00616889856237,7.56149333290406,11.2775916524597,4.80645533585002e-10,6.53112460341974e-08,13.2648428335528
"TC0500012842.hg.1",3.50466318195851,8.95556639252943,11.2103351550179,5.32630700658925e-10,7.03072524869781e-08,13.1632627303972
"TC2100006854.hg.1",3.33943852548731,5.56868160357354,11.1028759651254,6.28205904398557e-10,8.06197577311481e-08,12.9999241242202
"TC1900010651.hg.1",2.85072501180966,8.87905732546403,11.0328832490242,6.99944657041579e-10,8.73984950143809e-08,12.8928423736539
"TC0X00011310.hg.1",2.54379803670923,5.07469370274653,10.9602814585826,7.83444310287226e-10,9.52503345664995e-08,12.7811874402579
"TC1200012648.hg.1",3.03552386859807,7.42620189754976,10.6856635074424,1.20589754772582e-09,1.42852478730597e-07,12.3534253391532
"TC1300008517.hg.1",2.5190108919879,7.41369346801877,10.6400908446087,1.29637127667673e-09,1.49730882456163e-07,12.2815985097752
"TC0200012854.hg.1",1.80467305787476,8.97713502986089,10.6100056789141,1.35995323806715e-09,1.4981099465618e-07,12.2340490409355
